AppID,Genres
1457150,Massively Multiplayer
1457150,RPG
1457150,Early Access
1129660,Casual
1550750,Action
1550750,Adventure
1550750,Casual
1550750,Indie
1550750,RPG
1550750,Simulation
1787520,Casual
1787520,Indie
1787520,RPG
1787520,Strategy
292180,Simulation
1095140,Action
1095140,Adventure
1095140,Casual
1095140,Indie
1095140,Simulation
1095140,Early Access
973410,Action
973410,Adventure
973410,Indie
973410,RPG
1564660,Indie
1564660,Strategy
1564660,Early Access
1563100,Action
1563100,Indie
1853200,Action
1853200,Indie
1953220,Indie
1953220,Strategy
1094250,Action
1094250,Adventure
1094250,Indie
1094250,RPG
1094250,Strategy
1094250,Early Access
536660,Action
536660,Adventure
536660,Indie
536660,Simulation
536660,Early Access
362920,Adventure
1113940,Indie
915760,Action
915760,Indie
1682030,Action
1682030,Adventure
1682030,Indie
416840,Indie
529130,Casual
529130,Indie
529130,RPG
529130,Strategy
1730670,Casual
1730670,Indie
1535270,Casual
1836310,Action
1836310,Adventure
1836310,Indie
